"검색어 보고서(2026.08.01.~2026.08.31.),2580077"
검색어,검색 유형,일별,노출수,클릭수,클릭률(%),평균 CPC,총비용,총 전환수,총 전환율(%),총 전환매출액(원),총 전환당비용(원),총 광고수익률(%),구매완료 전환수,구매완료 전환매출액(원),구매완료 광고수익률(%)
2:1운동노원,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
M필라테스노원,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
근처필라테스,일치,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
근처필라테스,일치,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
근처필라테스,일치,2026.08.30.,4,0,0,0,0,0,0,0,0,0,0,0,0
근처필라테스,일치,2026.08.31.,4,0,0,0,0,0,0,0,0,0,0,0,0
기구필라테스202,확장,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
기구필라테스202,확장,2026.08.31.,2,0,0,0,0,0,0,0,0,0,0,0,0
나다운필라테스,확장,2026.08.26.,2,0,0,0,0,0,0,0,0,0,0,0,0
나다운필라테스,확장,2026.08.27.,8,0,0,0,0,0,0,0,0,0,0,0,0
나다운필라테스,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
나다운필라테스,확장,2026.08.29.,8,0,0,0,0,0,0,0,0,0,0,0,0
나다운필라테스,확장,2026.08.30.,4,0,0,0,0,0,0,0,0,0,0,0,0
나다운필라테스,확장,2026.08.31.,9,0,0,0,0,0,0,0,0,0,0,0,0
나래스포츠,일치,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
나인필라테스,일치,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
남성필라테스,일치,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
남성필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
내근처운동,일치,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원2:1필라테스,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원구근처필라테스,일치(유사검색어),2026.08.26.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원구근처필라테스,일치(유사검색어),2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원구근처필라테스,일치(유사검색어),2026.08.29.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원구근처필라테스,일치(유사검색어),2026.08.30.,21,0,0,0,0,0,0,0,0,0,0,0,0
노원구기구필라테스,확장,2026.08.31.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원구상계동필라테스,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원구시니어필라테스,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원구인근필라테스,일치(유사검색어),2026.08.26.,38,0,0,0,0,0,0,0,0,0,0,0,0
노원구인근필라테스,일치(유사검색어),2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원구인근필라테스,일치(유사검색어),2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원구인근필라테스,일치(유사검색어),2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원구인근필라테스,일치(유사검색어),2026.08.30.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원구지역필라테스,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원구키즈필라테스,확장,2026.08.28.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,일치,2026.08.27.,29,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,일치,2026.08.28.,41,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,일치,2026.08.29.,16,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,일치,2026.08.30.,11,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,일치,2026.08.31.,34,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,확장,2026.08.26.,14,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,확장,2026.08.28.,6,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,확장,2026.08.29.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원구필라테스,확장,2026.08.30.,4,0,0,0,0,0,0,0,0,0,0,0,0
노원단체운동,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원동필라테스,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원미용실새로오픈,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원산전필라테스,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원산전필라테스,확장,2026.08.31.,1,1,100,480,480,0,0,0,0,0,0,0,0
노원산후필라테스,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원새로오픈,확장,2026.08.31.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원새로오픈분식집,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원새로오픈식당,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원새로오픈카페,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원새로필라테스,확장,2026.08.26.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원새로필라테스,확장,2026.08.27.,8,0,0,0,0,0,0,0,0,0,0,0,0
노원새로필라테스,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원새로필라테스,확장,2026.08.29.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원새로필라테스,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원새로필라테스,확장,2026.08.31.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원스포츠,일치,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원시니어운동,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원아기우동,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역P,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역고유가,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역고유가지원금,확장,2026.08.30.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치,2026.08.27.,24,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치,2026.08.28.,35,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치,2026.08.29.,14,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치,2026.08.30.,3,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치,2026.08.31.,16,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치(유사검색어),2026.08.26.,38,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치(유사검색어),2026.08.27.,5,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치(유사검색어),2026.08.28.,7,0,0,0,0,0,0,0,0,0,0,0,0
노원역근처필라테스,일치(유사검색어),2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역단체,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역단체사진,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역단체할인,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역배스킨,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역사진,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역새로생긴,확장,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원역새로오픈,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역새로오픈보쌈집,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역운동,일치,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원역자세교정,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역정기주차,확장,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원역정기주차,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역주차,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역주차할인,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역지도,확장,2026.08.26.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원역지도,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역지도,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역체험,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역필라테스,일치,2026.08.26.,46,1,2.17,497,497,0,0,0,0,0,0,0,0
노원역필라테스,일치,2026.08.27.,105,3,2.86,496,1489,0,0,0,0,0,0,0,0
노원역필라테스,일치,2026.08.28.,106,4,3.77,787,3148,0,0,0,0,0,0,0,0
노원역필라테스,일치,2026.08.29.,54,1,1.85,936,936,0,0,0,0,0,0,0,0
노원역필라테스,일치,2026.08.30.,59,2,3.39,608,1217,0,0,0,0,0,0,0,0
노원역필라테스,일치,2026.08.31.,67,3,4.48,820,2459,0,0,0,0,0,0,0,0
노원역필라테스1:1비용,확장,2026.08.27.,1,1,100,256,256,0,0,0,0,0,0,0,0
노원역필라테스가격,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역필라테스새벽,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원역필라프,확장,2026.08.30.,2,0,0,0,0,0,0,0,0,0,0,0,0
노원운동,일치,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원운동,일치,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원운동,일치,2026.08.30.,4,0,0,0,0,0,0,0,0,0,0,0,0
노원점핑운동전문센터새로오픈,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원체인지필라테스,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원클래식필라테스강사운영하는곳,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원키즈카페새로오픈,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원키즈필라테스,확장,2026.08.27.,4,0,0,0,0,0,0,0,0,0,0,0,0
노원키즈필라테스,확장,2026.08.28.,2,1,50,304,304,0,0,0,0,0,0,0,0
노원키즈필라테스,확장,2026.08.30.,1,1,100,516,516,0,0,0,0,0,0,0,0
노원필라테스,일치,2026.08.26.,4,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스,일치,2026.08.27.,13,2,15.38,475,950,0,0,0,0,0,0,0,0
노원필라테스,일치,2026.08.28.,41,4,9.76,1009,4037,0,0,0,0,0,0,0,0
노원필라테스,일치,2026.08.29.,8,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스,일치,2026.08.30.,9,1,11.11,1096,1096,0,0,0,0,0,0,0,0
노원필라테스,일치,2026.08.31.,23,2,8.7,1181,2362,0,0,0,0,0,0,0,0
노원필라테스대관,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스상호변경,확장,2026.08.29.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스새벽후기,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스숲,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스원데이,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
노원필라테스인,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
노위필라테스,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
마들역필라테스,일치,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
마들역필라테스,일치,2026.08.28.,5,0,0,0,0,0,0,0,0,0,0,0,0
마들역필라테스,일치,2026.08.29.,5,0,0,0,0,0,0,0,0,0,0,0,0
마들역필라테스,일치,2026.08.30.,4,0,0,0,0,0,0,0,0,0,0,0,0
마들역필라테스,일치,2026.08.31.,3,0,0,0,0,0,0,0,0,0,0,0,0
마들필라테스,일치,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
마들필라테스,일치,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
마들필라테스,일치,2026.08.30.,4,0,0,0,0,0,0,0,0,0,0,0,0
모던필라테스노원,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
무인필라테스노원,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
벨필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
봉스포츠,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
봉운동,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
상계동필라테스,일치,2026.08.27.,3,0,0,0,0,0,0,0,0,0,0,0,0
상계동필라테스,일치,2026.08.28.,10,0,0,0,0,0,0,0,0,0,0,0,0
상계동필라테스,일치,2026.08.29.,8,1,12.5,934,934,0,0,0,0,0,0,0,0
상계동필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
상계동필라테스,일치,2026.08.31.,10,0,0,0,0,0,0,0,0,0,0,0,0
상계역앞필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
상계역필라테스,일치,2026.08.27.,6,0,0,0,0,0,0,0,0,0,0,0,0
상계역필라테스,일치,2026.08.28.,27,0,0,0,0,0,0,0,0,0,0,0,0
상계역필라테스,일치,2026.08.29.,8,1,12.5,1066,1066,0,0,0,0,0,0,0,0
상계역필라테스,일치,2026.08.30.,14,0,0,0,0,0,0,0,0,0,0,0,0
상계역필라테스,일치,2026.08.31.,50,0,0,0,0,0,0,0,0,0,0,0,0
상계역필라테스추천,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
상계필라테스,일치,2026.08.27.,6,0,0,0,0,0,0,0,0,0,0,0,0
상계필라테스,일치,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
상계필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
상계필라테스,일치,2026.08.31.,4,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스,확장,2026.08.26.,5,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스,확장,2026.08.27.,13,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스,확장,2026.08.28.,19,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스,확장,2026.08.29.,5,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스,확장,2026.08.30.,5,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스,확장,2026.08.31.,24,0,0,0,0,0,0,0,0,0,0,0,0
새로필라테스노원,확장,2026.08.30.,1,1,100,518,518,0,0,0,0,0,0,0,0
서울노원필라테스,확장,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
송도필라테스새로오픈,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
수정필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
스마일필라테스,일치,2026.08.28.,3,0,0,0,0,0,0,0,0,0,0,0,0
스마일필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
스포츠,일치,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
스포츠,일치,2026.08.28.,6,0,0,0,0,0,0,0,0,0,0,0,0
스포츠,일치,2026.08.29.,2,0,0,0,0,0,0,0,0,0,0,0,0
스포츠,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
시니어운동실노원역,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
오운필라테스,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
오운필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
오운필라테스,일치,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
와우필라테스,일치,2026.08.30.,3,1,33.33,1040,1040,0,0,0,0,0,0,0,0
운동,일치,2026.08.27.,5,0,0,0,0,0,0,0,0,0,0,0,0
운동,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
운동,일치,2026.08.29.,8,0,0,0,0,0,0,0,0,0,0,0,0
운동,일치,2026.08.30.,8,0,0,0,0,0,0,0,0,0,0,0,0
운동,일치,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
원주필라테스새로오픈,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
은행사거리필라테스,일치,2026.08.28.,4,0,0,0,0,0,0,0,0,0,0,0,0
이레필라테스,일치,2026.08.28.,5,0,0,0,0,0,0,0,0,0,0,0,0
자세교정노원역,확장,2026.08.29.,1,1,100,329,329,0,0,0,0,0,0,0,0
젠필라테스,일치,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
젠필라테스,일치,2026.08.28.,7,0,0,0,0,0,0,0,0,0,0,0,0
젠필라테스,일치,2026.08.29.,7,1,14.29,1072,1072,0,0,0,0,0,0,0,0
젠필라테스,일치,2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
중계역필라테스,일치,2026.08.27.,5,1,20,537,537,0,0,0,0,0,0,0,0
중계역필라테스,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
중계역필라테스,일치,2026.08.29.,7,1,14.29,755,755,0,0,0,0,0,0,0,0
중계역필라테스,일치,2026.08.30.,2,0,0,0,0,0,0,0,0,0,0,0,0
중계역필라테스,일치,2026.08.31.,2,0,0,0,0,0,0,0,0,0,0,0,0
창동역운동,일치,2026.08.27.,2,0,0,0,0,0,0,0,0,0,0,0,0
창동역운동,일치,2026.08.28.,2,0,0,0,0,0,0,0,0,0,0,0,0
창동역운동,일치,2026.08.29.,2,0,0,0,0,0,0,0,0,0,0,0,0
창동역운동,일치,2026.08.30.,3,0,0,0,0,0,0,0,0,0,0,0,0
창동역필라테스,일치,2026.08.27.,7,0,0,0,0,0,0,0,0,0,0,0,0
창동역필라테스,일치,2026.08.28.,13,0,0,0,0,0,0,0,0,0,0,0,0
창동역필라테스,일치,2026.08.29.,4,0,0,0,0,0,0,0,0,0,0,0,0
창동역필라테스,일치,2026.08.30.,11,1,9.09,1094,1094,0,0,0,0,0,0,0,0
창동역필라테스,일치,2026.08.31.,11,1,9.09,1045,1045,0,0,0,0,0,0,0,0
퀸즈필라테스,일치,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
트리니티필라테스,일치,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
필라테스,일치,2026.08.27.,44,3,6.82,442,1325,0,0,0,0,0,0,0,0
필라테스,일치,2026.08.28.,73,2,2.74,265,530,0,0,0,0,0,0,0,0
필라테스,일치,2026.08.29.,58,0,0,0,0,0,0,0,0,0,0,0,0
필라테스,일치,2026.08.30.,81,4,4.94,774,3094,0,0,0,0,0,0,0,0
필라테스,일치,2026.08.31.,58,3,5.17,942,2827,0,0,0,0,0,0,0,0
필라테스노원역,일치,2026.08.28.,1,1,100,482,482,0,0,0,0,0,0,0,0
필라테스노원역,일치(유사검색어),2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
필라테스노원역점,일치(유사검색어),2026.08.30.,1,0,0,0,0,0,0,0,0,0,0,0,0
필라테스인노원,확장,2026.08.27.,1,0,0,0,0,0,0,0,0,0,0,0,0
필라테스인노원,확장,2026.08.28.,1,0,0,0,0,0,0,0,0,0,0,0,0
필라테스인노원,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
함께노원시니어,확장,2026.08.31.,1,0,0,0,0,0,0,0,0,0,0,0,0
