"시간대별 보고서(2026.09.01.~2026.09.25.),2580077"
시간대별,노출수,클릭수,클릭률(%),평균 CPC,총비용,평균노출순위,총 전환수,총 전환율(%),총 전환매출액(원)
00시~01시,77,5,6.49,326,1631,2.1,0,0,0
01시~02시,45,1,2.22,323,323,2.4,0,0,0
02시~03시,27,1,3.7,352,352,2.1,0,0,0
03시~04시,14,1,7.14,235,235,2.2,0,0,0
04시~05시,15,2,13.33,256,512,2.3,0,0,0
05시~06시,23,1,4.35,404,404,1.7,0,0,0
06시~07시,159,3,1.89,1051,3153,2.2,0,0,0
07시~08시,210,6,2.86,1163,6978,2.6,0,0,0
08시~09시,341,9,2.64,1214,10930,2.8,0,0,0
09시~10시,378,18,4.76,1357,24433,2.9,0,0,0
10시~11시,470,14,2.98,1282,17950,3,0,0,0
11시~12시,399,17,4.26,1340,22786,3,0,0,0
12시~13시,435,16,3.68,1232,19716,3.2,0,0,0
13시~14시,489,20,4.09,1324,26474,3,0,0,0
14시~15시,563,19,3.37,1212,23028,2.7,0,0,0
15시~16시,539,22,4.08,1175,25847,2.8,0,0,0
16시~17시,472,16,3.39,1232,19716,2.8,0,0,0
17시~18시,396,13,3.28,1207,15686,2.6,0,0,0
18시~19시,376,10,2.66,1174,11742,2.5,0,0,0
19시~20시,358,8,2.23,1226,9808,2.4,0,0,0
20시~21시,400,17,4.25,1268,21555,2.7,0,0,0
21시~22시,356,10,2.81,1330,13299,2.5,0,0,0
22시~23시,348,12,3.45,1283,15400,2.4,0,0,0
23시~00시,272,7,2.57,1406,9845,2.4,0,0,0
